Date	Sentiment
05/10/2014 20:32	Negative
05/10/2014 20:32	Positive
05/10/2014 20:32	Negative
05/10/2014 20:32	Negative
05/10/2014 20:32	Negative
05/10/2014 20:32	Positive
05/10/2014 20:32	Negative
05/10/2014 20:32	Neutral
05/10/2014 20:32	Neutral
05/10/2014 20:31	Negative
05/10/2014 20:31	Negative
05/10/2014 20:31	Neutral
05/10/2014 20:30	Positive
05/10/2014 20:30	Neutral
05/10/2014 20:30	Negative
05/10/2014 20:30	Neutral
05/10/2014 20:30	Negative
05/10/2014 20:30	Negative
05/10/2014 20:30	Negative
05/10/2014 20:30	Neutral
05/10/2014 20:30	Negative
05/10/2014 20:30	Negative
05/10/2014 20:30	Positive
05/10/2014 20:30	Positive
05/10/2014 20:30	Negative
05/10/2014 20:30	Positive
05/10/2014 20:29	Negative
05/10/2014 20:29	Positive
05/10/2014 20:29	Positive
05/10/2014 20:29	Negative
05/10/2014 20:29	Neutral
05/10/2014 20:29	Negative
05/10/2014 20:29	Negative
05/10/2014 20:29	Negative
05/10/2014 20:29	Negative
05/10/2014 20:28	Positive
05/10/2014 20:28	Neutral
05/10/2014 20:28	Neutral
05/10/2014 20:28	Negative
05/10/2014 20:28	Positive
05/10/2014 20:28	Negative
05/10/2014 20:28	Neutral
05/10/2014 20:28	Negative
05/10/2014 20:28	Positive
05/10/2014 20:27	Positive
05/10/2014 20:27	Neutral
05/10/2014 20:27	Neutral
05/10/2014 20:27	Positive
05/10/2014 20:27	Negative
05/10/2014 20:27	Neutral
05/10/2014 20:27	Negative
05/10/2014 20:27	Neutral
05/10/2014 20:27	Neutral
05/10/2014 20:27	Positive
05/10/2014 20:27	Neutral
05/10/2014 20:27	Negative
05/10/2014 20:27	Neutral
05/10/2014 20:27	Negative
05/10/2014 20:27	Positive
05/10/2014 20:27	Negative
05/10/2014 20:27	Negative
05/10/2014 20:27	Positive
05/10/2014 20:26	Negative
05/10/2014 20:26	Negative
05/10/2014 20:26	Positive
05/10/2014 20:26	Negative
05/10/2014 20:26	Neutral
05/10/2014 20:26	Negative
05/10/2014 20:26	Negative
05/10/2014 20:26	Negative
05/10/2014 20:26	Neutral
05/10/2014 20:26	Positive
05/10/2014 20:26	Negative
05/10/2014 20:26	Neutral
05/10/2014 20:25	Negative
05/10/2014 20:25	Positive
05/10/2014 20:25	Positive
05/10/2014 20:25	Positive
05/10/2014 20:25	Negative
05/10/2014 20:25	Positive
05/10/2014 20:24	Negative
05/10/2014 20:24	Positive
05/10/2014 20:24	Positive
05/10/2014 20:24	Negative
05/10/2014 20:24	Positive
05/10/2014 20:24	Positive
05/10/2014 20:24	Positive
05/10/2014 20:24	Positive
05/10/2014 20:23	Positive
05/10/2014 20:23	Negative
05/10/2014 20:23	Positive
05/10/2014 20:23	Neutral
05/10/2014 20:23	Positive
05/10/2014 20:23	Positive
05/10/2014 20:22	Positive
05/10/2014 20:22	Positive
05/10/2014 20:22	Positive
05/10/2014 20:22	Negative
05/10/2014 20:22	Neutral
05/10/2014 20:22	Positive
05/10/2014 20:21	Neutral
05/10/2014 20:21	Positive
05/10/2014 20:21	Positive
05/10/2014 20:21	Positive
05/10/2014 20:21	Negative
05/10/2014 20:21	Positive
05/10/2014 20:21	Negative
05/10/2014 20:21	Positive
05/10/2014 20:21	Positive
05/10/2014 20:21	Neutral
05/10/2014 20:21	Negative
05/10/2014 20:21	Positive
05/10/2014 20:21	Positive
05/10/2014 20:20	Positive
05/10/2014 20:20	Negative
05/10/2014 20:20	Neutral
05/10/2014 20:20	Neutral
05/10/2014 20:20	Negative
05/10/2014 20:20	Positive
05/10/2014 20:20	Negative
05/10/2014 20:20	Positive
05/10/2014 20:20	Negative
05/10/2014 20:20	Positive
05/10/2014 20:20	Negative
05/10/2014 20:19	Negative
05/10/2014 20:19	Neutral
05/10/2014 20:19	Positive
05/10/2014 20:19	Positive
05/10/2014 20:18	Negative
05/10/2014 20:18	Negative
05/10/2014 20:18	Negative
05/10/2014 20:18	Negative
05/10/2014 20:18	Positive
05/10/2014 20:18	Negative
05/10/2014 20:17	Negative
05/10/2014 20:17	Positive
05/10/2014 20:16	Positive
05/10/2014 20:16	Negative
05/10/2014 20:16	Negative
05/10/2014 20:16	Positive
05/10/2014 20:16	Positive
05/10/2014 20:16	Negative
05/10/2014 20:16	Negative
05/10/2014 20:16	Negative
05/10/2014 20:16	Neutral
05/10/2014 20:16	Positive
05/10/2014 20:15	Positive
05/10/2014 20:15	Neutral
05/10/2014 20:15	Neutral
05/10/2014 20:15	Positive
05/10/2014 20:15	Negative
05/10/2014 20:15	Positive
05/10/2014 20:15	Negative
05/10/2014 20:15	Negative
05/10/2014 20:15	Negative
05/10/2014 20:15	Negative
05/10/2014 20:14	Positive
05/10/2014 20:14	Negative
05/10/2014 20:14	Neutral
05/10/2014 20:14	Neutral
05/10/2014 20:14	Neutral
05/10/2014 20:14	Positive
05/10/2014 20:14	Negative
05/10/2014 20:14	Positive
05/10/2014 20:13	Negative
05/10/2014 20:13	Negative
05/10/2014 20:13	Positive
05/10/2014 20:13	Negative
05/10/2014 20:13	Positive
