Date	Sentiment
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	negativo
05/10/2014 19:59	positivo
05/10/2014 19:59	negativo
05/10/2014 19:59	neutro
