Unnamed: 10	Unnamed: 11	date	favorites	geo	hashtags	id	mentions	permalink	retweets	text	username
		2018-06-02 22:42	0			1.00308946286221E+018		https://twitter.com/SirK74271006/status/1003089462862204929	0	hmmsentindo cheiro bots atacar outras pessoas	SirK74271006
		2018-06-02 22:32	0			1.00308700565016E+018		https://twitter.com/VerTomazCampos/status/1003087005650161664	0	hegemonismo pt pode levar esquerda ter votar geraldo alckmin segundo turno	VerTomazCampos
		2018-06-02 22:32	0			1.00308687520316E+018		https://twitter.com/STARTOVERBRAZIL/status/1003086875203162112	0	conversando eleitor inteligente	STARTOVERBRAZIL
		2018-06-02 22:08	0			1.00308083241906E+018		https://twitter.com/fwm1000/status/1003080832419057666	0	a proposito geraldo pedgio presdio alckmin partideco provinciano marginal rio tiete e pior viu	fwm1000
		2018-06-02 22:07	0			1.00308077376576E+018	@MichelTemer @LulapeloBrasil @AecioNeves @geraldoalckmin @LFPezao @gilmarmendes @Eunicio @RodrigoMaia @romerojuca @blogdojefferson @gilbertogil @robertocarlos @caetanoveloso @chico_pinheiro @ivetesangalo @ClaudiaLeitte @zcloficial @luansantana @RedeGlobo @showdavida	https://twitter.com/euclidesbarbosa/status/1003080773765758976	0	twitterisauradesouza7 status1003022385992425472	euclidesbarbosa
		2018-06-02 22:07	0			1.00308075777303E+018		https://twitter.com/entidadefenix/status/1003080757773029376	0	fique longe santo nos conhecemos politica merda o psdb vai dar graca pra estrangeiros	entidadefenix
		2018-06-02 22:07	0			1.00308068564778E+018		https://twitter.com/Carlos1FHC/status/1003080685647777799	0	a melhor maneira proteger consumidor cidadaos contribuintes e privatizar tudo nobre presidente faca	Carlos1FHC
		2018-06-02 22:04	0			1.00308002770823E+018		https://twitter.com/Carlos1FHC/status/1003080027708231680	0	todas telefonia aviacao rodagens	Carlos1FHC
		2018-06-02 22:03	0			1.00307971686836E+018		https://twitter.com/ch81wilson/status/1003079716868362245	0	ah manovai dormir vai	ch81wilson
		2018-06-02 21:58	0			1.00307845570831E+018		https://twitter.com/fwm1000/status/1003078455708307456	0	irresponsabilidade tucaninho marginal rio tiete	fwm1000
		2018-06-02 21:51	0			1.00307675784982E+018		https://twitter.com/roverperfeito/status/1003076757849821185	0	o problema e politicos pensam pequeno nao planejamento fazem diferenca nao investem educacao os pesquisadores indo embora falta recursos	roverperfeito
		2018-06-02 21:48	0			1.0030759615151E+018		https://twitter.com/globo_cancer_BR/status/1003075961515102209	0	8quqe	globo_cancer_BR
		2018-06-02 21:47	0			1.00307573813488E+018		https://twitter.com/roverperfeito/status/1003075738134876160	0	precisamos e gente pense diferente investir combustiveis fosseis menos poluentes insistem salvar moribunda ativo principal e propina acabararm etanol biodisel veiculos eletricos fala e atrasados mundo	roverperfeito
		2018-06-02 21:38	0			1.00307347365107E+018		https://twitter.com/_DeFeCe/status/1003073473651068928	0	escolhida trilha sonora candidatura geraldo alckmin youtubewatchvkv38mh x4alwfeatureshare	_DeFeCe
		2018-06-02 21:34	0			1.00307250063969E+018		https://twitter.com/Fer__Martin/status/1003072500639690752	0	uma pessoa q nasce sertao nordestino casa barro meio nada mesmas condicoes q varias outras pessoas nao egoista dinheiro q sustenta tds politicos assessores p tratar todos pobres pais	Fer__Martin
		2018-06-02 21:33	1			1.00307220684124E+018		https://twitter.com/andrecatapan/status/1003072206841237510	0	e apoiadores geraldo alckmin alckimistas	andrecatapan
		2018-06-02 21:30	0			1.00307130311977E+018		https://twitter.com/Fer__Martin/status/1003071303119769600	0	estudei escola publica formei univ particular empresa acho absurdo tanto impostos pago nao preciso governo p nada pg escola p filho pg plano saude pg seguro carros acho q governo deva ajudar q precise	Fer__Martin
		2018-06-02 21:25	0			1.00307010175366E+018	@geraldoalckmin	https://twitter.com/vanessastellzer/status/1003070101753655297	0	acho melhor esquerda marxista jair conscientizando mobilizando pra votar logo primeiro turno voto til pra correr risco ajudar bolso ganhar 1 o digo centro esquerda direita	vanessastellzer
		2018-06-02 21:18	1			1.00306838674879E+018		https://twitter.com/Florsertanja/status/1003068386748792832	0	valeu amiguinho	Florsertanja
		2018-06-02 21:14	1			1.00306742899209E+018	@geraldoalckmin	https://twitter.com/Ihamma_1/status/1003067428992094208	0	eu votarei	Ihamma_1
		2018-06-02 21:13	3		#SOCORRO	1.00306723120132E+018	@ANAMARIABRAGA @LucianoHuck @anaamelialemos @josemaranhaopb @RaimundoLiraPB @jairbolsonaro @joaoamoedonovo @geraldoalckmin @RodrigoMaia @lobaoeletrico @Collor @gen_paulosergio @janderson_evans @protesteoficial @mvortopedia @Florsertanja @PBiaL @GloboNews @rejanevalones	https://twitter.com/thepatricao/status/1003067231201320960	2	socorro	thepatricao
		2018-06-02 21:08	0			1.00306582071135E+018		https://twitter.com/AnaKaouri/status/1003065820711354369	0	cala boca bandido cade moro pega	AnaKaouri
		2018-06-02 21:04	0		#GeraldoAlckmin #ForaPSDB #ModoTucano #PSDBnuncaMais #ForaAlckmin #EsquerdistasSeguemEsquerdistas	1.00306485194885E+018		https://twitter.com/hugobbezerra/status/1003064851948851201	0	no desgoverno geraldoalckmin rodoanel sobrepreco r 55 mi aponta tcu brasil247pt247sp2473 56864 forapsdb modotucano psdbnuncamais foraalckmin esquerdistasseguemesquerdistas	hugobbezerra
		2018-06-02 21:02	0			1.00306435371998E+018		https://twitter.com/AfsouAugusto/status/1003064353719975936	0	e rouboanel a merenda escolar vai explicar	AfsouAugusto
