username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
hugobbezerra,2018-06-02 21:04,0,0,"No desgoverno #GeraldoAlckmin , Rodoanel teve sobrepreço de R$ 55 mi, aponta TCU http://www. brasil247.com/pt/247/sp247/3 56864 … * #ForaPSDB #ModoTucano #PSDBnuncaMais #ForaAlckmin #EsquerdistasSeguemEsquerdistas",,,#GeraldoAlckmin #ForaPSDB #ModoTucano #PSDBnuncaMais #ForaAlckmin #EsquerdistasSeguemEsquerdistas,1.00306485194885E+018,https://twitter.com/hugobbezerra/status/1003064851948851201,,
AfsouAugusto,2018-06-02 21:02,0,0,E rouboanel? A merenda escolar vai explicar,,,,1.00306435371998E+018,https://twitter.com/AfsouAugusto/status/1003064353719975936,,
ArthurKuhn7,2018-06-02 20:52,0,0,SAÚDE EM PRIMEIRO LUGAR! #ALCKMIN2018,,,#ALCKMIN2018,1.00306185671251E+018,https://twitter.com/ArthurKuhn7/status/1003061856712511488,,
ArthurKuhn7,2018-06-02 20:51,0,0,"falou e disse, o populismo é uma prática repudiante",,,,1.00306166313278E+018,https://twitter.com/ArthurKuhn7/status/1003061663132782593,,
ArthurKuhn7,2018-06-02 20:50,0,0,"QUEM NÃO DEVE NÃO TEME, É ISSO AÍ MEU CANDIDATO",,,,1.00306144304089E+018,https://twitter.com/ArthurKuhn7/status/1003061443040890880,,
ResnelMarcos,2018-06-02 20:50,0,0,"O Povo quer corte de despesas todos estão cansados, só o Plenário custa milhões todos os meses, sem falar nos salários e benefícios milhonarios de deputados e senadores! @geraldoalckmin @RodrigoMaia @MarinaSilva @jairbolsonaro",,@geraldoalckmin @RodrigoMaia @MarinaSilva @jairbolsonaro,,1.00306131750115E+018,https://twitter.com/ResnelMarcos/status/1003061317501145093,,
ArthurKuhn7,2018-06-02 20:50,0,0,#GeraldoPresidente,,,#GeraldoPresidente,1.00306131631416E+018,https://twitter.com/ArthurKuhn7/status/1003061316314157057,,
GF_BARAGLIO,2018-06-02 20:48,0,0,É quanto à estação AACD-SERVIDOR que foi PROMETIDA PARA 01 DE JUNHO? Esqueci nem o Geraldo Alckmin nem a direção do Metrô tem palavra ou caráter.,,,,1.00306090982319E+018,https://twitter.com/GF_BARAGLIO/status/1003060909823193088,,
ArthurKuhn7,2018-06-02 20:48,0,0,Consistente!,,,,1.00306087038825E+018,https://twitter.com/ArthurKuhn7/status/1003060870388252674,,
ArthurKuhn7,2018-06-02 20:47,0,0,Eles tentam inventar FAKE NEWS para denegrir a imagem do alckmin...,,,,1.00306063769255E+018,https://twitter.com/ArthurKuhn7/status/1003060637692547073,,
ArthurKuhn7,2018-06-02 20:46,0,0,Falou e disse,,,,1.00306036358631E+018,https://twitter.com/ArthurKuhn7/status/1003060363586306050,,
ArthurKuhn7,2018-06-02 20:45,0,0,O Brasil está a seu favor!,,,,1.00306007973271E+018,https://twitter.com/ArthurKuhn7/status/1003060079732707329,,
ArthurKuhn7,2018-06-02 20:44,0,0,Excelente posicionamento presidente,,,,1.00305969308912E+018,https://twitter.com/ArthurKuhn7/status/1003059693089120262,,
ArthurKuhn7,2018-06-02 20:43,0,0,PARABÉNS GERALDO!,,,,1.00305949200158E+018,https://twitter.com/ArthurKuhn7/status/1003059492001583104,,
ResnelMarcos,2018-06-02 20:42,0,0,Eu quero corte de despesas já!,,,,1.00305936405011E+018,https://twitter.com/ResnelMarcos/status/1003059364050108416,,
ArthurKuhn7,2018-06-02 20:41,0,0,E será !!! Todo o meu apoio a geraldo!,,,,1.00305908682339E+018,https://twitter.com/ArthurKuhn7/status/1003059086823391236,,
ArthurKuhn7,2018-06-02 20:39,0,0,"Falou e disse, presidente!",,,,1.00305858039478E+018,https://twitter.com/ArthurKuhn7/status/1003058580394782720,,
